filename,Rsep,R1,R1Q,R2Q,delta,alpha,,,R2,Q,,,k (in SI),eps 1,eps 2,eps,A,d,d1,d2,,,tau 1,tau 2,Nm1,Nm2,delta,,delta_actual,,Names
RM_stacked second run DS_12+3_1_C07.mpt,159.7752531,672.2147751,4.263414571,5.880823264,0.6,0.969644,,,927.232438,0.00634234,,,0.0353,0.53,0.41,0.50333,9.42E-05,0.000342,0.000268,0.000053,,,5.77,23.85,10.89,58.18,0.499997971,,,,RM_stacked second run DS_12+3_1_C07.mpt
RM_stacked second run DS_12+3_2_C08.mpt,173.0284693,757.9777444,4.941064448,4.891469813,0.167,0.971339345,,,750.3697422,0.006518746,,,0.0353,0.53,0.41,0.490702,9.42E-05,0.000343,0.000268,0.000053,,,23.32,19.30,44.00,47.08,0.500000764,,,,RM_stacked second run DS_12+3_2_C08.mpt
RM_stacked second run DS_3+12_1_C05.mpt,147.3482396,1266.754226,7.968695024,4.284247929,0.247574642,0.96563304,,,681.0511825,0.00629064,,,0.0353,0.41,0.53,0.489452888,9.42E-05,0.000329,0.000053,0.000268,,,21.20,4.48,51.71,8.45,0.182202835,,,,RM_stacked second run DS_3+12_1_C05.mpt
RM_stacked second run DS_3+12_2_C06.mpt,136.153305,1296.121032,8.329596511,4.661328452,0.197127565,0.970089617,,,725.3227495,0.006426558,,,0.0353,0.41,0.53,0.493532934,9.42E-05,0.000334,0.000053,0.000268,,,26.84,4.77,65.46,9.00,0.182561577,,,,RM_stacked second run DS_3+12_2_C06.mpt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S12 thickness,52,micron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S3 thickness,269,micron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,delta,0.19330855,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.80669145,,,,,,,,,,,,,,,,,,,,,,,,,,,
